sL	sW	pL	pW	group
0	0	0	0	Group 100xx
0	0	0	0	Group 200xx
0	0	0	0	Group 300xx
0	0	0	0	Group 400xx
0	0	0	0	Group 500xx
2	1	0	0	Group 100xx
3	1	0	0	Group 200xx
4	1	0	0	Group 300xx
3	1	0	0	Group 400xx
3	1	0	0	Group 500xx
4	2	0	0	Group 100xx
5	2	0	0	Group 200xx
5	2	0	0	Group 300xx
3	2	0	0	Group 400xx
3	2	0	0	Group 500xx
5	3	0	0	Group 100xx
5	3	0	0	Group 200xx
5	3	0	0	Group 300xx
5	3	0	0	Group 400xx
5	3	0	0	Group 500xx
6	4	0	0	Group 100xx
8	4	0	0	Group 200xx
6	4	0	0	Group 300xx
8	4	0	0	Group 400xx
4	4	0	0	Group 500xx
9	5	0	0	Group 100xx
10 	5	0	0	Group 200xx
10	5	0	0	Group 300xx
8	5	0	0	Group 400xx
8	5	0	0	Group 500xx
2	6	0	0	Group 100xx
2	6	0	0	Group 200xx
4	6	0	0	Group 300xx
2	6	0	0	Group 400xx
0	6	0	0	Group 500xx
4	7	0	0	Group 100xx
4	7	0	0	Group 200xx
8	7	0	0	Group 300xx
4	7	0	0	Group 400xx
0	7	0	0	Group 500xx
5	8	0	0	Group 100xx
7	8	0	0	Group 200xx
5	8	0	0	Group 300xx
7	8	0	0	Group 400xx
6	8	0	0	Group 500xx
7	9	0	0	Group 100xx
9	9	0	0	Group 200xx
6	9	0	0	Group 300xx
5	9	0	0	Group 400xx
7	9	0	0	Group 500xx
0	10	0	0	Group 100xx
0	10	0	0	Group 200xx
0	10	0	0	Group 300xx
0	10	0	0	Group 400xx
0	10	0	0	Group 500xx
0	11	0	0	Group 100xx
0	11	0	0	Group 200xx
0	11	0	0	Group 300xx
0	11	0	0	Group 400xx
0	11	0	0	Group 500xx